instance_type,name,nodes,min_trucks,capacity,BKS
A,A-n32-k5,31,5,100,784.0
A,A-n33-k5,32,5,100,661.0
A,A-n33-k6,32,6,100,742.0
A,A-n34-k5,33,5,100,778.0
A,A-n36-k5,35,5,100,799.0
A,A-n37-k5,36,5,100,669.0
A,A-n37-k6,36,6,100,949.0
A,A-n38-k5,37,5,100,730.0
A,A-n39-k5,38,5,100,822.0
A,A-n39-k6,38,6,100,831.0
A,A-n44-k6,43,6,100,937.0
A,A-n45-k6,44,6,100,944.0
A,A-n45-k7,44,7,100,1146.0
A,A-n46-k7,45,7,100,914.0
A,A-n48-k7,47,7,100,1073.0
A,A-n53-k7,52,7,100,1010.0
A,A-n54-k7,53,7,100,1167.0
A,A-n55-k9,54,9,100,1073.0
A,A-n60-k9,59,9,100,1354.0
A,A-n61-k9,60,9,100,1034.0
A,A-n62-k8,61,8,100,1288.0
A,A-n63-k9,62,9,100,1616.0
A,A-n63-k10,62,10,100,1314.0
A,A-n64-k9,63,9,100,1401.0
A,A-n65-k9,64,9,100,1174.0
A,A-n69-k9,68,9,100,1159.0
A,A-n80-k10,79,10,100,1763.0
B,B-n31-k5,30,5,100,672.0
B,B-n34-k5,33,5,100,788.0
B,B-n35-k5,34,5,100,955.0
B,B-n38-k6,37,6,100,805.0
B,B-n39-k5,38,5,100,549.0
B,B-n41-k6,40,6,100,829.0
B,B-n43-k6,42,6,100,742.0
B,B-n44-k7,43,7,100,909.0
B,B-n45-k5,44,5,100,751.0
B,B-n45-k6,44,6,100,678.0
B,B-n50-k7,49,7,100,741.0
B,B-n50-k8,49,8,100,1312.0
B,B-n51-k7,50,7,100,1032.0
B,B-n52-k7,51,7,100,747.0
B,B-n56-k7,55,7,100,707.0
B,B-n57-k7,56,7,100,1153.0
B,B-n57-k9,56,9,100,1598.0
B,B-n63-k10,62,10,100,1496.0
B,B-n64-k9,63,9,100,861.0
B,B-n66-k9,65,9,100,1316.0
B,B-n67-k10,66,10,100,1032.0
B,B-n68-k9,67,9,100,1272.0
B,B-n78-k10,77,10,100,1221.0
E,E-n13-k4,12,4,6000,247.00
E,E-n22-k4,21,4,6000,375.00
E,E-n23-k3,22,3,4500,569.00
E,E-n30-k3,29,3,4500,534.00
E,E-n31-k7,30,7,140,379.00
E,E-n33-k4,32,4,8000,835.00
E,E-n51-k5,50,5,160,521.00
E,E-n76-k7,75,7,220,682.00 
E,E-n76-k8,75,8,180,735.00  
E,E-n76-k10,75,10,140,830.00	  
E,E-n76-k14,75,14,100,1021.00 
E,E-n101-k8,100,8,200,815.00  
E,E-n101-k14,100,14,112,1067.00
F,F-n45-k4,44,4,2010,724.00 
F,F-n72-k4,71,4,30000,237.00
F,F-n135-k7,134,7,2210,1162.00
M,M-n101-k10,100,10,200,820.00
M,M-n121-k7,120,7,200,1034.00
M,M-n151-k12,150,12,200,1015.00
M,M-n200-k16,199,16,200,1274.00
M,M-n200-k17,199,17,200,1275.00
